icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
7c7b65,1669337597,YPPF,1669338559,YLYK,YNR     ,568,24,18360,1021,2,1
a2b1ab,1669334879,KBOI,1669340957,KNZY,ASA845  ,548,181,11606,525,2,5
a57c78,1669337335,KLVK,1669338455,KHAF,N4524K  ,2654,335,1095,20,1,2
abb5e2,1669335741,KCOS,1669340392,KLAS,SWA753  ,2475,140,2034,169,1,4
aca3d1,1669337591,KLAS,1669341005,KSJC,SWA44   ,1117,123,100,102,2,3
e48e49,1669338364,SBKP,1669341538,,AZU2761 ,6674,473,,,0,0
71c093,1669336806,,1669338397,,KAL1707 ,,,,,0,0
71bf25,1669337645,,1669340180,RKSS,KAL1158 ,,,5627,157,0,5
885963,1669335837,VTBS,1669336971,,TVJ320  ,3680,425,,,0,0
896215,1669339466,,1669341429,OMDB,UAE714  ,,,2055,34,0,2
8965cd,1669335087,OTBD,1669337943,OMDW,FDB9YR  ,2254,103,806,19,1,1
7c3fdf,1669337658,YSBK,1669340301,,FD264   ,1049,52,,,1,0
8a064f,1669334655,,1669336337,,CTV936  ,,,,,0,0
a54e71,1669336279,PANC,1669338472,,SVX42   ,1466,167,,,7,0
aa67ec,1669336030,KOJC,1669338459,,N77NT   ,2575,306,,,2,0
acbd72,1669337577,4TX8,1669338469,TA65,N92SS   ,1204,600,3990,2357,17,3
c0011b,1669335106,CYVR,1669338719,,,1808,72,,,0,0
c0322e,1669334675,,1669340186,,CFTAB   ,,,,,0,0
e4962e,1669334559,,1669336004,SBKP,AZU4213 ,,,5367,184,0,4
3a4d01,1669336253,,1669337576,NZAA,ACI410A ,,,1343,76,0,2
710115,1669336233,,1669340810,OMDB,SVA590  ,,,2215,26,0,2
750474,1669336593,,1669338464,WBKK,AXM6072 ,,,1551,35,0,0
800d3f,1669336461,,1669339027,VIAM,GOW911  ,,,6205,1826,0,1
8832aa,1669336069,VTBD,1669336714,,TLM620  ,5784,660,,,0,0
8963bc,1669337380,,1669339077,OMDB,FDB438  ,,,1809,41,0,2
a10967,1669338323,KSBP,1669340001,KSJC,EJA166  ,2197,362,350,87,0,3
a23914,1669335171,KSLC,1669336068,,SKW3619 ,2317,31,,,1,0
a891e0,1669336342,,1669337266,,EJA651  ,,,,,0,0
ac08d4,1669338042,KRNO,1669341590,KLAX,SWA820  ,756,57,1410,45,0,8
abd59a,1669335523,KDAL,1669340879,KATL,SWA2048 ,1876,148,2594,0,1,20
abf29f,1669335167,KSFO,1669338839,KNZY,SWA4654 ,58,72,13091,616,0,5
c080d9,1669335467,CYUL,1669339289,CYYZ,ACA425  ,937,66,1333,36,0,4
c81ce8,1669335123,,1669335752,NZPM,MSY234  ,,,2625,243,0,2
c81e2c,1669338473,NZWN,1669341026,NZAA,ANZ432  ,7066,901,1972,107,0,2
e4956e,1669336713,SBBR,1669338506,,GLO1710 ,2417,8,,,1,0
e4988d,1669338769,SBBR,1669340502,,GLO1774 ,1423,14,,,1,0
e80326,1669336038,SPJC,1669336758,,SKX5083 ,1189,361,,,3,0
151fbc,1669335330,,1669340575,USCC,AUL527  ,,,16748,2478,0,1
71ba12,1669335944,RKSI,1669340133,RJOT,ASV741  ,4993,663,25907,927,0,0
758532,1669336744,,1669338896,RPLL,CEB962  ,,,2400,7,0,1
800bd4,1669335936,,1669340392,VOMM,AIC570  ,,,2322,52,0,1
8880df,1669340053,VVGL,1669341281,,HVN245  ,13051,1569,,,0,0
8881bc,1669336949,,1669338292,,BAV1035 ,,,,,0,0
7c0ada,1669339108,YCDR,1669339976,,CFG     ,1475,575,,,0,0
